transaction_id,client_id,date,amount,category,mcc,merchant,is_international
TXN207473,C100,2024-01-13,12320.1,entertainment,9935,Merchant_23,False
TXN343962,C100,2024-10-29,1685.96,healthcare,9279,Merchant_155,False
TXN781453,C100,2024-01-14,10022.0,forex,9928,Merchant_108,True
TXN106814,C100,2024-04-22,29504.36,shopping,3615,Merchant_179,False
TXN900581,C100,2024-08-04,13965.78,fuel,6514,Merchant_27,False
TXN733052,C100,2024-02-17,4926.15,healthcare,5333,Merchant_12,False
TXN496922,C100,2024-08-23,6328.83,forex,2291,Merchant_142,True
TXN301629,C100,2024-05-30,44284.04,emi,2139,Merchant_12,False
TXN996865,C100,2024-12-04,38676.11,utilities,4814,Merchant_26,False
TXN270555,C100,2024-07-13,22725.17,entertainment,7065,Merchant_91,False
TXN174870,C100,2024-04-17,35120.83,entertainment,3803,Merchant_137,False
TXN771088,C100,2024-05-05,23166.78,dining,4598,Merchant_176,False
TXN430776,C100,2024-06-15,11529.5,groceries,7572,Merchant_69,True
TXN852787,C100,2024-02-03,45665.49,utilities,6155,Merchant_55,False
TXN581141,C100,2024-12-01,19842.03,shopping,3340,Merchant_68,False
TXN883300,C100,2024-03-12,37274.95,utilities,8019,Merchant_150,False
TXN634277,C100,2024-07-23,11044.11,fuel,9085,Merchant_24,False
TXN813536,C100,2024-01-25,7726.78,travel,7916,Merchant_153,False
TXN654816,C100,2024-02-02,19142.8,healthcare,5119,Merchant_142,False
TXN379786,C100,2024-01-06,34117.35,travel,6573,Merchant_29,False
TXN857168,C100,2024-05-30,7992.07,healthcare,5315,Merchant_129,True
TXN755674,C100,2024-04-01,45640.13,forex,5889,Merchant_164,True
TXN269396,C100,2024-09-16,10025.66,emi,9837,Merchant_200,False
TXN217301,C100,2024-09-28,29987.33,groceries,6947,Merchant_79,False
TXN182582,C100,2024-05-02,12119.49,groceries,2403,Merchant_188,False
TXN231869,C100,2024-09-05,48901.43,travel,3103,Merchant_169,False
